criterion, level_description, score

"DOS NIVELES (0.25)", "NO", 0
"DOS NIVELES", "SÍ", 0.25

"TRES NIVELES (0.5)", "MAL", 0
"TRES NIVELES (0.5)", "REGULAR", 0.25
"TRES NIVELES (0.5)", "PERFECTO", 0.5

"CUATRO NIVELES (0.75)", "MAL", 0
"CUATRO NIVELES (0.75)", "REGULAR", 0.25
"CUATRO NIVELES (0.75)", "BIEN", 0.5
"CUATRO NIVELES (0.75)", "PERFECTO", 0.75

"CINCO NIVELES (1)", "MAL", 0
"CINCO NIVELES (1)", "FLOJO", 0.25
"CINCO NIVELES (1)", "REGULAR", 0.5
"CINCO NIVELES (1)", "BIEN", 0.75
"CINCO NIVELES (1)", "PERFECTO", 1
